model,modelAge,name,age,mileage,state,owners,bodyType,numberOfDoors,fuelType,vehicleTransmission,drive,color,equipment,price,engineDisplacement,enginePower,technicalPassport
7ER,22,730d,21,380000,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,650000,2.9,193,1
5ER,18,530i,17,340000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,560000,3.0,231,1
X1,11,20d,8,118000,не битый,2,SUV,5,diesel,AT,4wd,brown,Базовая,840000,2.0,177,1
7ER,5,740Ld,4,54338,не битый,2,sedan,4,diesel,AT,4wd,grey,Base,3600000,3.0,320,1
X6,11,None,9,159494,не битый,3,SUV,5,petrol,AT,4wd,black,,1084000,4.4,555,1
X6,13,40d,10,123540,не битый,2,SUV,5,diesel,AT,4wd,silver,Базовая,1350000,3.0,306,1
X5,21,None,17,230000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,650000,3.0,231,1
X3,3,20d,1,10000,не битый,1,SUV,5,diesel,AT,4wd,dark_blue,M Sport,3000000,2.0,190,1
1ER,9,118i,8,108000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,700000,1.6,170,1
X5,21,None,20,370000,не битый,3,SUV,5,petrol,AT,4wd,yellow,Базовая,515000,3.0,231,1
1ER,13,116i,9,105000,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,450000,1.6,115,1
X5,14,30d,13,246000,не битый,2,SUV,5,diesel,AT,4wd,grey,Базовая,820000,3.0,231,1
X5,10,30d,8,111000,не битый,3,SUV,5,diesel,AT,4wd,white,SE,1501000,3.0,245,1
5ER,18,530i,16,121000,не битый,1,sedan,4,petrol,AT,rwd,silver,Базовая,720000,3.0,231,1
3ER,5,320d,4,89100,не битый,1,hatchback,5,diesel,AT,4wd,white,Luxury Line,1450000,2.0,190,1
X1,5,20i,2,36500,не битый,2,SUV,5,petrol,AT,4wd,white,,1980000,2.0,192,1
X6,6,30d,3,44000,не битый,1,SUV,5,diesel,AT,4wd,black,M Sport,3325000,3.0,249,1
5ER,4,520d,2,109591,не битый,1,sedan,4,diesel,AT,4wd,black,,1999000,2.0,190,1
5ER,4,520i,2,131000,не битый,1,sedan,4,petrol,AT,rwd,black,Business,1780000,2.0,184,1
5ER,20,530i,20,385640,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,260000,3.0,231,1
3ER,5,320d,1,3314,не битый,1,hatchback,5,diesel,AT,4wd,dark_blue,Base,3168268,2.0,190,1
5ER,18,525xi,14,199000,не битый,3,sedan,4,petrol,AT,4wd,black,Базовая,535000,2.5,218,1
5ER,13,520d,11,260000,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,770000,2.0,177,1
5ER,4,520d,1,33300,не битый,1,sedan,4,diesel,AT,4wd,black,Business,2582000,2.0,190,1
X4,6,30d,5,95495,не битый,2,SUV,5,diesel,AT,4wd,white,,2222000,3.0,249,1
7ER,8,750Li,7,105000,не битый,3,sedan,4,petrol,AT,4wd,dark_blue,Базовая,1299999,4.4,450,1
X5,10,50i,9,123078,не битый,3,SUV,5,petrol,AT,4wd,black,,1045000,4.4,407,1
7ER,12,750i,12,270000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,730000,4.4,407,1
X1,5,20i,2,43500,не битый,1,SUV,5,petrol,AT,4wd,white,M Sport,1879000,2.0,192,1
X3,17,25i,14,300000,не битый,3,SUV,5,petrol,AT,4wd,grey,Базовая,400000,2.5,192,1
X5,7,30d,5,133000,не битый,1,SUV,5,diesel,AT,4wd,white,,2859000,3.0,249,1
X6,8,35i,7,164000,не битый,3,SUV,5,petrol,AT,4wd,white,Базовая,1320000,3.0,306,1
1ER,13,120d,12,196000,не битый,3,hatchback,3,diesel,AT,rwd,white,Базовая,540000,2.0,177,1
5ER,11,528i,10,165000,не битый,3,sedan,4,petrol,AT,rwd,black,Luxury,900000,3.0,258,1
7ER,15,740Li,15,267000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,512000,4.0,306,1
X6,6,30d,1,19100,не битый,1,SUV,5,diesel,AT,4wd,black,M Sport,4050000,3.0,249,1
1ER,9,116i,8,140000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,640000,1.6,136,1
X5,7,25d,5,114500,не битый,1,SUV,5,diesel,AT,4wd,white,Business,1989000,3.0,218,1
5ER,11,530d,10,149900,не битый,3,hatchback,5,diesel,AT,rwd,dark_blue,Базовая,1120000,3.0,245,1
3ER,83,None,72,193348,не битый,1,sedan,2,petrol,MT,rwd,black,Базовая,300000,2.0,46,1
X5,14,None,12,210000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,740000,4.8,355,1
X5,14,None,11,200000,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,890000,3.0,235,1
X5,11,None,9,144000,не битый,2,SUV,5,petrol,AT,4wd,black,,850000,4.4,555,1
X1,5,18i,2,41011,не битый,1,SUV,5,petrol,AT,fwd,grey,Base,1565000,1.5,136,1
7ER,8,750Li,8,120000,не битый,1,sedan,4,petrol,AT,4wd,black,Базовая,1700000,4.4,450,1
5ER,7,525d,5,282602,не битый,1,sedan,4,diesel,AT,4wd,black,,1075000,2.0,218,1
X1,11,20d,8,91973,не битый,3,SUV,5,diesel,AT,4wd,black,,766000,2.0,177,1
6ER,17,650i,13,190000,не битый,3,coupe,2,petrol,AT,rwd,black,Базовая,615000,4.8,367,1
4ER,7,420d,6,95000,не битый,2,coupe,2,diesel,AT,4wd,dark_blue,Базовая,1699000,2.0,190,1
3ER,5,320d,4,100000,не битый,3,sedan,4,diesel,AT,4wd,black,Sport Line,1300000,2.0,190,1
7ER,22,730d,21,380000,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,650000,2.9,193,1
6ER,3,630d,2,48265,не битый,1,hatchback,5,diesel,AT,4wd,black,Base,3670000,3.0,249,1
5ER,4,530d,1,20990,не битый,1,sedan,4,diesel,AT,4wd,black,,3599000,3.0,249,1
5ER,4,520d,3,56253,не битый,1,sedan,4,diesel,AT,rwd,grey,,2037000,2.0,190,1
7ER,15,745d,14,158024,не битый,2,sedan,4,diesel,AT,rwd,dark_blue,Базовая,850000,4.4,300,1
X5,17,None,16,310000,не битый,3,SUV,5,petrol,AT,4wd,silver,Базовая,475000,3.0,231,1
3ER,30,325i,28,150000,не битый,2,cabriolet,2,petrol,MT,rwd,dark_blue,Базовая,300000,2.5,192,1
X3,6,20i,4,103059,не битый,1,SUV,5,petrol,AT,4wd,black,,1558000,2.0,184,1
3ER,19,318i,18,353000,не битый,2,coupe,2,petrol,MT,rwd,grey,Базовая,220000,2.0,143,1
X3,10,28i,8,124000,не битый,2,SUV,5,petrol,AT,4wd,white,Базовая,920000,3.0,258,1
X5,10,35i,8,91000,не битый,1,SUV,5,petrol,AT,4wd,white,Luxury,1490000,3.0,306,1
5ER,18,530i,16,300000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,450000,3.0,231,1
X5,2,M50d,2,28009,не битый,1,SUV,5,diesel,AT,4wd,black,Base,5897000,3.0,400,1
X3,10,28i,7,130952,не битый,1,SUV,5,petrol,AT,4wd,white,,1159000,2.0,245,1
X5,10,40d,9,168000,не битый,3,SUV,5,diesel,AT,4wd,black,M Sport,1290000,3.0,306,1
X1,8,20d,7,143000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Business,1100000,2.0,184,1
X1,11,20d,8,118000,не битый,2,SUV,5,diesel,AT,4wd,brown,Базовая,840000,2.0,177,1
6ER,9,640i,9,12927,не битый,3,cabriolet,2,petrol,AT,rwd,black,Базовая,2415000,3.0,320,1
5ER,11,528i,9,178000,не битый,3,sedan,4,petrol,AT,rwd,grey,Luxury,950000,3.0,258,1
5ER,4,530i,2,34912,не битый,2,sedan,4,petrol,AT,4wd,black,M Sport,2685000,2.0,249,1
5ER,4,540i,3,32700,не битый,1,sedan,4,petrol,AT,4wd,black,M Sport Pro,3198000,3.0,340,1
X6,13,50i,11,200000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,970000,4.4,407,1
X6,8,35i,7,25000,не битый,1,SUV,5,petrol,AT,4wd,brown,Базовая,2000000,3.0,306,1
X4,6,20d,4,140000,не битый,1,SUV,5,diesel,AT,4wd,red,M Sport,1930000,2.0,190,1
3ER,12,325i,9,92384,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,810000,2.5,218,1
X5,10,35i,10,117205,не битый,3,SUV,5,petrol,AT,4wd,white,Базовая,949000,3.0,306,1
3ER,9,320i,7,81000,не битый,1,hatchback,5,petrol,AT,rwd,white,Базовая,1135000,2.0,184,1
X5,21,None,19,333500,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,550000,4.4,286,1
X6,6,30d,1,11000,не битый,1,SUV,5,diesel,AT,4wd,white,M Sport,4085000,3.0,249,1
X5,10,30d,8,111000,не битый,3,SUV,5,diesel,AT,4wd,white,SE,1501000,3.0,245,1
X5,14,None,12,284200,не битый,3,SUV,5,diesel,AT,4wd,black,Базовая,995000,3.0,235,1
X6,11,None,9,149900,не битый,1,SUV,5,petrol,AT,4wd,white,,1399000,4.4,555,1
5ER,18,525xi,15,280000,не битый,3,sedan,4,petrol,AT,4wd,black,Базовая,550000,2.5,218,1
5ER,4,520d,1,21000,не битый,2,sedan,4,diesel,AT,4wd,white,Business,2590000,2.0,190,1
X5,7,35i,5,33000,не битый,2,SUV,5,petrol,AT,4wd,white,Luxury,2480000,3.0,306,1
X3,10,28i,9,84000,не битый,1,SUV,5,petrol,AT,4wd,black,,950000,3.0,258,1
3ER,9,320i,6,116474,не битый,2,sedan,4,petrol,AT,rwd,brown,,991000,2.0,184,1
X3,14,25i,11,137000,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,Базовая,700000,2.5,218,1
M5,9,None,7,67000,не битый,3,sedan,4,petrol,AM,rwd,grey,,2248000,4.4,560,1
M5,22,None,21,213000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,1100000,4.9,400,1
X3,14,30i,12,149000,не битый,3,SUV,5,petrol,AT,4wd,grey,Lifestyle,755000,3.0,272,1
3ER,12,325i,9,135000,не битый,3,sedan,4,petrol,AT,rwd,white,Базовая,650000,2.5,218,1
X6,13,35i,9,82200,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Базовая,1499000,3.0,306,1
X5,17,None,16,220000,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,Базовая,650000,4.8,360,1
X5,7,40d,4,61000,не битый,1,SUV,5,diesel,AT,4wd,white,M Sport,3100000,3.0,313,1
3ER,38,320i,33,300000,не битый,3,coupe,2,petrol,MT,rwd,grey,Базовая,380000,2.0,129,0
2ER,5,218d,5,131000,не битый,1,van,5,diesel,AT,fwd,black,Базовая,1225000,2.0,150,1
X5,7,40d,4,78500,не битый,3,SUV,5,diesel,AT,4wd,white,,2699000,3.0,313,1
X6,6,30d,1,60,не битый,1,SUV,5,diesel,AT,4wd,blue,M Sport,4700000,3.0,249,1
7ER,5,725Ld,3,69000,не битый,2,sedan,4,diesel,AT,rwd,black,Base,2790000,2.0,231,1
7ER,5,725Ld,3,69000,не битый,2,sedan,4,diesel,AT,rwd,black,Base,2790000,2.0,231,1
X3,14,30d,12,238000,не битый,2,SUV,5,diesel,AT,4wd,white,Базовая,828000,3.0,218,1
7ER,5,750Ld,2,205,не битый,1,sedan,4,diesel,AT,4wd,white,Base,6750000,3.0,400,1
X6,6,30d,1,27982,не битый,1,SUV,5,diesel,AT,4wd,white,M Sport,4016000,3.0,249,1
5ER,11,530d,10,270500,не битый,2,sedan,4,diesel,AT,rwd,black,Базовая,1100000,3.0,245,1
3ER,5,320i,3,53000,не битый,2,sedan,4,petrol,AT,4wd,violet,M Sport,1950000,2.0,184,1
5ER,11,535i,10,102000,не битый,2,hatchback,5,petrol,AT,rwd,grey,Базовая,1040000,3.0,306,1
3ER,30,325i,24,200000,не битый,2,cabriolet,2,petrol,MT,rwd,dark_blue,Базовая,800000,2.5,192,1
X3,17,30i,14,194471,не битый,3,SUV,5,petrol,AT,4wd,blue,,519000,3.0,231,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
3ER,9,316i,7,114000,не битый,2,sedan,4,petrol,AT,rwd,white,SE,920000,1.6,136,1
7ER,19,730i,17,376000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,450000,3.0,231,1
X6,13,35i,10,190000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,1350000,3.0,306,1
X3,14,20d,10,195000,не битый,2,SUV,5,diesel,AT,4wd,grey,Базовая,790000,2.0,177,1
X5,2,30d,1,6000,не битый,1,SUV,5,diesel,AT,4wd,white,,5350000,3.0,249,1
3ER,9,320d,6,133478,не битый,3,hatchback,5,diesel,AT,4wd,grey,,1230000,2.0,184,1
X6,8,None,7,85000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,M,1800000,4.4,555,1
X6,6,30d,3,6600,не битый,1,SUV,5,diesel,AT,4wd,black,Prestige,3490000,3.0,249,1
7ER,15,740i,13,189000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,475000,4.0,306,1
5ER,11,523i,9,255555,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,777777,2.5,204,1
5ER,11,520i,8,293325,не битый,1,sedan,4,petrol,AT,rwd,black,,714000,2.0,184,1
5ER,7,520i,7,120000,не битый,2,sedan,4,petrol,AT,rwd,black,Business,1190000,2.0,184,1
5ER,4,530i,2,27683,не битый,1,sedan,4,petrol,AT,4wd,black,,2889000,2.0,249,1
1ER,9,116i,7,146201,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,599000,1.6,136,1
7ER,26,740i,23,400000,не битый,3,sedan,4,petrol,AT,rwd,dark_blue,Базовая,400000,4.0,286,1
X5,14,None,13,265000,не битый,3,SUV,5,diesel,AT,4wd,grey,Базовая,945000,3.0,235,1
M5,7,None,4,85400,не битый,3,sedan,4,petrol,AM,rwd,dark_blue,,3349000,4.4,560,1
7ER,5,750Li,2,52642,не битый,2,sedan,4,petrol,AT,4wd,black,,4127000,4.4,450,1
5ER,13,523i,12,175000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,700000,2.5,190,1
5ER,13,530i,11,301000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,785000,3.0,272,1
3ER,12,320i,11,119616,не битый,3,sedan,4,petrol,AT,rwd,red,SE,580000,2.0,156,1
3ER,9,320d,7,106000,не битый,2,sedan,4,diesel,AT,4wd,white,Sport Line,1185000,2.0,184,1
X1,8,28i,8,125000,не битый,2,SUV,5,petrol,AT,4wd,white,xLine,800000,2.0,245,1
X5,14,None,13,270000,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,500000,3.0,272,1
5ER,25,520i,21,290000,не битый,2,sedan,4,petrol,MT,rwd,grey,Базовая,210000,2.0,150,1
X6,13,50i,11,195000,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,Базовая,900000,4.4,407,1
7ER,5,730i,2,15900,не битый,3,sedan,4,petrol,AT,rwd,black,M Sport SE,3150000,2.0,249,1
5ER,11,520i,7,169840,не битый,2,sedan,4,petrol,AT,rwd,black,SE,1055000,2.0,184,1
5ER,11,525d,10,211000,не битый,3,sedan,4,diesel,AT,rwd,white,Базовая,933000,3.0,204,1
X5,14,30i,12,191000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,920000,3.0,264,1
7ER,1,730Ld,1,2632,не битый,1,sedan,4,diesel,AT,4wd,grey,M Sport Pro,6350000,3.0,249,1
X1,8,20i,6,103800,не битый,1,SUV,5,petrol,AT,4wd,brown,,920000,2.0,184,1
3ER,12,325i,10,128000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,760000,2.5,218,1
5ER,7,520i,6,90000,не битый,3,sedan,4,petrol,AT,rwd,black,Business,1350000,2.0,184,1
X3,6,20d,6,93533,не битый,1,SUV,5,diesel,AT,4wd,brown,,1567000,2.0,190,1
7ER,8,740Li,7,205000,не битый,1,sedan,4,petrol,AT,4wd,black,Базовая,1300000,3.0,320,1
7ER,5,730Ld,3,88600,не битый,2,sedan,4,diesel,AT,4wd,black,,3200000,3.0,265,1
X1,8,18i,6,84470,не битый,1,SUV,5,petrol,AT,rwd,black,,925000,2.0,150,1
X5,10,None,10,124000,не битый,3,SUV,5,petrol,AT,4wd,black,M,1148000,4.4,555,1
1ER,13,120d,10,119000,не битый,3,hatchback,5,diesel,AT,rwd,black,Базовая,750000,2.0,177,1
6ER,17,650i,13,118000,не битый,3,coupe,2,petrol,AT,rwd,grey,Базовая,800000,4.8,367,1
X6,8,35i,7,125000,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,1650000,3.0,306,1
3ER,15,325xi,15,232000,не битый,1,sedan,4,petrol,AT,4wd,dark_blue,Базовая,500000,2.5,218,1
X3,10,20i,8,90000,не битый,2,SUV,5,petrol,AT,4wd,brown,Базовая,900000,2.0,184,1
X6,6,30d,4,86000,не битый,1,SUV,5,diesel,AT,4wd,black,Prestige,2900000,3.0,249,1
5ER,32,525i,30,200000,не битый,3,sedan,4,petrol,MT,rwd,black,Базовая,200000,2.5,192,1
X5,10,None,10,183000,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,M,1249999,4.4,555,1
5ER,11,530d,8,142450,не битый,3,sedan,4,diesel,AT,4wd,black,,1172000,3.0,258,1
X6,8,35i,7,80000,не битый,1,SUV,5,petrol,AT,4wd,grey,Базовая,1960000,3.0,306,1
5ER,4,520d,3,98000,не битый,1,sedan,4,diesel,AT,rwd,black,Sport Line,1900009,2.0,190,1
7ER,5,740Ld,3,93000,не битый,2,sedan,4,diesel,AT,4wd,grey,Base,3290000,3.0,320,1
7ER,19,730d,18,368000,не битый,3,sedan,4,diesel,AT,rwd,grey,Базовая,415000,3.0,218,1
1ER,9,116i,7,69000,не битый,2,hatchback,5,petrol,AT,rwd,orange,Базовая,700000,1.6,136,1
